day,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
120,10.792,13.173,10.064,12.059,10.852,11.338,10.863,9.945,10.519,12.325,11.332,10.980,11.422,9.650,9.721,11.762,9.506,11.205,10.349,10.320,11.777,11.789,11.249,11.922,10.833,11.294,11.125,9.640,10.231,11.231
121,10.853,13.265,10.442,12.620,11.027,11.359,10.892,9.995,10.983,11.923,11.330,10.917,11.528,9.745,9.758,11.979,9.594,10.950,10.209,10.560,11.970,11.667,11.318,11.913,10.788,11.770,11.710,9.602,10.425,11.298
122,10.983,13.308,10.346,12.643,10.965,11.255,11.184,10.204,11.092,12.081,11.557,10.988,11.521,9.786,9.738,12.279,9.906,10.580,10.108,10.675,11.928,11.179,11.220,12.046,10.743,12.266,12.116,9.735,10.722,11.471
123,11.425,13.092,10.098,12.401,10.861,11.299,11.367,10.554,11.134,12.044,11.685,11.407,11.278,9.744,9.747,12.138,10.053,10.098,10.270,10.718,12.315,12.222,11.344,12.263,10.764,12.123,12.241,9.664,11.020,11.747
124,11.542,13.218,10.138,12.397,10.602,11.385,11.638,10.725,11.099,12.473,11.948,11.793,11.371,9.679,9.721,11.700,10.129,9.769,10.831,10.648,12.631,12.222,11.516,12.468,10.911,11.721,12.303,9.822,11.719,11.919
125,11.508,13.434,10.334,12.445,10.469,11.339,11.719,10.733,10.890,12.381,12.020,11.913,11.478,9.650,9.897,11.246,10.405,9.600,11.263,10.663,12.644,12.222,11.704,12.360,11.110,11.719,12.313,10.175,12.100,12.217
126,11.542,13.518,10.388,12.994,10.275,11.631,12.093,10.638,10.807,12.460,12.251,11.955,11.595,9.925,10.154,10.879,10.640,9.684,11.462,10.596,12.860,12.222,11.849,11.892,11.315,11.953,12.380,10.471,12.153,12.354
127,11.694,13.551,10.408,13.523,10.115,12.081,12.701,10.550,10.632,12.610,12.635,11.804,11.941,10.320,10.092,10.721,10.709,9.950,11.828,10.713,12.778,12.245,12.184,11.556,11.535,12.163,12.592,10.913,12.027,12.325
128,11.494,13.510,10.763,13.554,10.265,12.307,12.625,10.838,10.868,13.008,12.784,11.476,12.320,10.642,10.175,10.738,10.636,10.310,12.163,10.973,12.778,12.463,12.338,11.575,11.756,12.042,12.438,11.174,11.648,12.222
129,11.615,13.514,11.219,13.452,10.365,12.101,12.873,10.623,11.097,13.023,12.932,11.363,12.717,11.093,10.513,10.796,10.642,10.604,12.665,11.391,12.852,12.664,12.798,11.800,11.997,11.773,12.358,11.318,11.450,12.240
130,11.736,13.662,11.469,13.424,10.648,12.156,13.139,10.673,10.984,13.125,12.620,11.534,12.904,11.253,10.902,11.011,10.809,10.895,12.987,11.815,12.964,12.760,13.127,12.402,12.459,11.535,12.743,11.246,11.338,12.189
131,11.892,13.680,11.734,13.299,10.646,12.139,13.340,10.923,11.026,13.013,12.213,11.888,12.938,11.013,11.215,11.033,11.184,11.133,12.842,12.229,13.333,13.148,12.778,12.706,13.050,11.563,12.840,11.222,11.313,12.220
